[2026-05-20T13:43:06] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T13:51:34] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:35] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:36] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:37] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:38] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:39] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:40] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:41] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:42] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:43] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:44] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:45] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:46] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:47] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:48] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:49] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:50] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:51] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:52] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:53] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:54] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:55] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:56] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:57] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:58] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:51:59] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:01] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:02] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:03] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:04] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:05] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:06] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:07] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:08] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:09] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:52:20] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T13:52:20] "GET /api/v2/files HTTP/1.1" 200 -
[2026-05-20T13:53:49] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T13:53:51] "POST /api/v2/index/refresh HTTP/1.1" 200 -
[2026-05-20T13:53:52] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:53:53] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:53:54] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T13:53:55] "GET /api/v2/index/status HTTP/1.1" 200 -
